source_quipu,consumer_quipu,hops,kind
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,5dc8ed119de6e5470f6239d712a9dda9af106249c1023eec60aebb22aca102fe,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,ebaefd3e99b46ce1c6282209134f07990524ffe4a5bf1f2a6905905be0c0eda6,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,1fa3a4b90af9b7ac61cb7713b3fe26d20d2e9d65da86ac00343e4115438bddb8,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,8d1e3b6c89f8bfc1f4e706e2cbe6774919126e9754b849e4bd673e82a0271ddb,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,9b845cdeb1e8a7ab8d364fa18c5c8f7bcf699471bbd0d2a302ac16efb748626f,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,1aeb468d341b33efc75f1b70bbec1740dc9f08bb0b8ace621c2f6ca0dd8129f5,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,a8949b8248c476c4e93cb1c419d4da176f133b7862f5bdc26fede843194a68d6,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,83baf5826ffe4971e6e01fa4cf8d42f2334f69adcf627b34b365648dec80457d,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,b4d023875aa649440c34c05095437b4cd43c5c1eddfd53d6829c40ea1f2a1023,0,citation
e00a1ace3afd59c005143a6354a6ff42e2b0dda246d3213a7a40836d3375600a,6f46b42033dea9dc5a3fb2a8b6b141c2eac6316872ea9792c6f50b45deab9907,0,citation
1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3,2ae7fe909e19c0e4646f7981d0feffc96f4a3b286539f3da8caf19aebcf93bb2,0,citation_scene_content
1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3,c1542c10399a09a5471799133c472a6652d5cb3b7b421e1a7e80e2039f5b393b,0,citation_scene_content
1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3,9e42c7ab6f47dadc0c36d22fb20f69c9db0daa5c719cd8ff83c8ecf250efa519,0,citation_scene_content
1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3,a01e8625d653f4a8686b5b9e20ca653e59ebcd8bf2ca2a7b8370fdc52417f7b9,0,citation_scene_content
1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3,dcd31fa39202c9018dfb28e17da108dd3bd6b98ffc1cd30040f636012e3236ee,0,citation_scene_content
1f63558bdee2f5ead118083ff0af0d5e266acaf347938c5ed2722b6ced1248e3,014123b21a99b50e28219522af50a7a970dd3f8feeb0dd1d07e4ab2d384b40d1,0,citation_scene_content
1fa3a4b90af9b7ac61cb7713b3fe26d20d2e9d65da86ac00343e4115438bddb8,762043aaaed3fd92d3e129aa94ffb53753ad0e98a58f3fd7ab816379c13de9c4,0,citation_scene_content
